Date,Region,"Total Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths,"New Cases","Age 4 and Under","Age 5 to 11","Age 12 to 19","Age 20 to 39","Ages 40 to 59","Age 60 to 79","Age 80+"
2020/08/04,"Far North West",346,4,0,0,335,7,0,,,,,,,
2020/08/04,"Far North West",,0,,,,,0,,,,,,,
2020/08/04,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/04,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/04,"Far North East",,0,,,,,0,,,,,,,
2020/08/04,"North West",96,1,0,0,70,4,0,,,,,,,
2020/08/04,"North West",,7,,,,,0,,,,,,,
2020/08/04,"North West",,10,,,,,0,,,,,,,
2020/08/04,"North West",,4,,,,,1,,,,,,,
2020/08/04,"North Central",63,6,0,0,55,1,1,,,,,,,
2020/08/04,"North Central",,1,,,,,0,,,,,,,
2020/08/04,"North Central",,0,,,,,0,,,,,,,
2020/08/04,"North East",62,1,0,0,31,0,0,,,,,,,
2020/08/04,"North East",,30,,,,,0,,,,,,,
2020/08/04,"North East",,0,,,,,0,,,,,,,
2020/08/04,Saskatoon,216,24,3,5,190,2,2,,,,,,,
2020/08/04,"Central West",158,46,0,0,83,0,0,,,,,,,
2020/08/04,"Central West",,29,,,,,0,,,,,,,
2020/08/04,"Central East",28,1,0,0,24,1,0,,,,,,,
2020/08/04,"Central East",,1,,,,,0,,,,,,,
2020/08/04,"Central East",,0,,,,,0,,,,,,,
2020/08/04,"Central East",,1,,,,,0,,,,,,,
2020/08/04,"Central East",,0,,,,,0,,,,,,,
2020/08/04,Regina,99,13,1,2,83,1,4,,,,,,,
2020/08/04,"South West",149,30,3,0,113,0,1,,,,,,,
2020/08/04,"South West",,6,,,,,0,,,,,,,
2020/08/04,"South Central",134,30,0,0,99,2,0,,,,,,,
2020/08/04,"South Central",,3,,,,,0,,,,,,,
2020/08/04,"South East",11,0,0,0,6,0,0,,,,,,,
2020/08/04,"South East",,0,,,,,0,,,,,,,
2020/08/04,"South East",,4,,,,,0,,,,,,,
2020/08/04,"South East",,1,,,,,0,,,,,,,
2020/08/04,Total,1368,253,7,7,1097,18,9,,,,437,427,241,50
2020/08/05,"Far North West",346,4,0,0,335,7,0,,,,,,,
2020/08/05,"Far North West",,0,,,,,0,,,,,,,
2020/08/05,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/05,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/05,"Far North East",,0,,,,,0,,,,,,,
2020/08/05,"North West",98,1,0,0,79,4,0,,,,,,,
2020/08/05,"North West",,7,,,,,0,,,,,,,
2020/08/05,"North West",,3,,,,,0,,,,,,,
2020/08/05,"North West",,4,,,,,0,,,,,,,
2020/08/05,"North Central",63,4,0,1,57,1,0,,,,,,,
2020/08/05,"North Central",,1,,,,,0,,,,,,,
2020/08/05,"North Central",,0,,,,,0,,,,,,,
2020/08/05,"North East",65,1,0,0,34,0,0,,,,,,,
2020/08/05,"North East",,30,,,,,3,,,,,,,
2020/08/05,"North East",,0,,,,,0,,,,,,,
2020/08/05,Saskatoon,217,19,3,5,196,2,2,,,,,,,
2020/08/05,"Central West",159,44,0,0,86,0,1,,,,,,,
2020/08/05,"Central West",,29,,,,,0,,,,,,,
2020/08/05,"Central East",28,1,1,0,24,1,0,,,,,,,
2020/08/05,"Central East",,1,,,,,0,,,,,,,
2020/08/05,"Central East",,0,,,,,0,,,,,,,
2020/08/05,"Central East",,1,,,,,0,,,,,,,
2020/08/05,"Central East",,0,,,,,0,,,,,,,
2020/08/05,Regina,100,15,1,2,84,1,2,,,,,,,
2020/08/05,"South West",149,26,2,0,119,0,0,,,,,,,
2020/08/05,"South West",,4,,,,,0,,,,,,,
2020/08/05,"South Central",134,24,0,0,105,2,0,,,,,,,
2020/08/05,"South Central",,3,,,,,0,,,,,,,
2020/08/05,"South East",11,0,0,0,8,0,0,,,,,,,
2020/08/05,"South East",,0,,,,,0,,,,,,,
2020/08/05,"South East",,3,,,,,0,,,,,,,
2020/08/05,"South East",,0,,,,,0,,,,,,,
2020/08/05,Total,1376,225,7,8,1133,18,8,,,,439,432,242,50
2020/08/06,"Far North West",346,2,0,0,337,7,0,,,,,,,
2020/08/06,"Far North West",,0,,,,,0,,,,,,,
2020/08/06,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/06,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/06,"Far North East",,0,,,,,0,,,,,,,
2020/08/06,"North West",98,1,0,0,81,4,0,,,,,,,
2020/08/06,"North West",,7,,,,,0,,,,,,,
2020/08/06,"North West",,3,,,,,0,,,,,,,
2020/08/06,"North West",,2,,,,,0,,,,,,,
2020/08/06,"North Central",63,4,0,1,58,1,0,,,,,,,
2020/08/06,"North Central",,0,,,,,0,,,,,,,
2020/08/06,"North Central",,0,,,,,0,,,,,,,
2020/08/06,"North East",65,1,0,0,34,0,0,,,,,,,
2020/08/06,"North East",,30,,,,,0,,,,,,,
2020/08/06,"North East",,0,,,,,0,,,,,,,
2020/08/06,Saskatoon,218,17,3,4,199,2,1,,,,,,,
2020/08/06,"Central West",159,40,0,0,95,0,0,,,,,,,
2020/08/06,"Central West",,24,,,,,0,,,,,,,
2020/08/06,"Central East",28,1,1,0,24,1,0,,,,,,,
2020/08/06,"Central East",,1,,,,,0,,,,,,,
2020/08/06,"Central East",,0,,,,,0,,,,,,,
2020/08/06,"Central East",,1,,,,,0,,,,,,,
2020/08/06,"Central East",,0,,,,,0,,,,,,,
2020/08/06,Regina,100,13,1,1,85,2,0,,,,,,,
2020/08/06,"South West",150,24,2,0,123,0,1,,,,,,,
2020/08/06,"South West",,3,,,,,0,,,,,,,
2020/08/06,"South Central",143,25,0,0,114,2,9,,,,,,,
2020/08/06,"South Central",,2,,,,,0,,,,,,,
2020/08/06,"South East",11,0,0,0,8,0,0,,,,,,,
2020/08/06,"South East",,0,,,,,0,,,,,,,
2020/08/06,"South East",,3,,,,,0,,,,,,,
2020/08/06,"South East",,0,,,,,0,,,,,,,
2020/08/06,Total,1387,204,7,6,1164,19,11,,,,441,435,243,50
2020/08/07,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/07,"Far North West",,0,,,,,0,,,,,,,
2020/08/07,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/07,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/07,"Far North East",,0,,,,,0,,,,,,,
2020/08/07,"North West",99,1,0,0,85,4,0,,,,,,,
2020/08/07,"North West",,3,,,,,0,,,,,,,
2020/08/07,"North West",,4,,,,,1,,,,,,,
2020/08/07,"North West",,2,,,,,0,,,,,,,
2020/08/07,"North Central",63,4,0,1,58,1,0,,,,,,,
2020/08/07,"North Central",,0,,,,,0,,,,,,,
2020/08/07,"North Central",,0,,,,,0,,,,,,,
2020/08/07,"North East",65,1,0,0,48,0,0,,,,,,,
2020/08/07,"North East",,16,,,,,0,,,,,,,
2020/08/07,"North East",,0,,,,,0,,,,,,,
2020/08/07,Saskatoon,221,13,4,3,206,2,3,,,,,,,
2020/08/07,"Central West",159,29,0,0,109,0,0,,,,,,,
2020/08/07,"Central West",,21,,,,,0,,,,,,,
2020/08/07,"Central East",30,1,1,0,24,1,0,,,,,,,
2020/08/07,"Central East",,3,,,,,2,,,,,,,
2020/08/07,"Central East",,0,,,,,0,,,,,,,
2020/08/07,"Central East",,1,,,,,0,,,,,,,
2020/08/07,"Central East",,0,,,,,0,,,,,,,
2020/08/07,Regina,102,14,1,0,86,2,2,,,,,,,
2020/08/07,"South West",153,20,2,0,129,1,2,,,,,,,
2020/08/07,"South West",,3,,,,,1,,,,,,,
2020/08/07,"South Central",154,27,1,0,124,2,12,,,,,,,
2020/08/07,"South Central",,1,,,,,0,,,,,,,
2020/08/07,"South East",11,0,0,0,8,0,0,,,,,,,
2020/08/07,"South East",,0,,,,,0,,,,,,,
2020/08/07,"South East",,3,,,,,0,,,,,,,
2020/08/07,"South East",,0,,,,,0,,,,,,,
2020/08/07,Total,1409,168,9,4,1221,20,23,,,,446,445,243,49
2020/08/08,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/08,"Far North West",,0,,,,,0,,,,,,,
2020/08/08,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/08,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/08,"Far North East",,0,,,,,0,,,,,,,
2020/08/08,"North West",99,1,0,0,87,4,0,,,,,,,
2020/08/08,"North West",,2,,,,,0,,,,,,,
2020/08/08,"North West",,4,,,,,0,,,,,,,
2020/08/08,"North West",,1,,,,,0,,,,,,,
2020/08/08,"North Central",66,4,0,1,61,1,3,,,,,,,
2020/08/08,"North Central",,0,,,,,0,,,,,,,
2020/08/08,"North Central",,0,,,,,0,,,,,,,
2020/08/08,"North East",65,1,0,0,52,0,0,,,,,,,
2020/08/08,"North East",,12,,,,,0,,,,,,,
2020/08/08,"North East",,0,,,,,0,,,,,,,
2020/08/08,Saskatoon,224,13,3,4,209,2,11,,,,,,,
2020/08/08,"Central West",159,24,0,0,114,0,0,,,,,,,
2020/08/08,"Central West",,21,,,,,0,,,,,,,
2020/08/08,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/08,"Central East",,3,,,,,0,,,,,,,
2020/08/08,"Central East",,0,,,,,0,,,,,,,
2020/08/08,"Central East",,0,,,,,0,,,,,,,
2020/08/08,"Central East",,0,,,,,0,,,,,,,
2020/08/08,Regina,113,25,1,0,86,2,3,,,,,,,
2020/08/08,"South West",154,21,3,0,129,1,1,,,,,,,
2020/08/08,"South West",,3,,,,,0,,,,,,,
2020/08/08,"South Central",159,26,1,0,129,2,4,,,,,,,
2020/08/08,"South Central",,2,,,,,1,,,,,,,
2020/08/08,"South East",11,0,0,0,8,0,0,,,,,,,
2020/08/08,"South East",,0,,,,,0,,,,,,,
2020/08/08,"South East",,3,,,,,0,,,,,,,
2020/08/08,"South East",,0,,,,,0,,,,,,,
2020/08/08,Total,1433,168,8,5,1245,20,22,,,,453,452,249,51
2020/08/09,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/09,"Far North West",,0,,,,,0,,,,,,,
2020/08/09,"Far North Central",0,0,0,0,0,0,0,,,,,,,
