Date,Region,"Total First Vaccine Doses","Total Fully Vaccinated","Total Vaccine Doses","New First Vaccine Doses","New Fully Vaccinated","New Vaccine Doses"
2020/08/04,"Far North West",,,,,,
2020/08/04,"Far North West",,,,,,
2020/08/04,"Far North Central",,,,,,
2020/08/04,"Far North East",,,,,,
2020/08/04,"Far North East",,,,,,
2020/08/04,"North West",,,,,,
2020/08/04,"North West",,,,,,
2020/08/04,"North West",,,,,,
2020/08/04,"North West",,,,,,
2020/08/04,"North Central",,,,,,
2020/08/04,"North Central",,,,,,
2020/08/04,"North Central",,,,,,
2020/08/04,"North East",,,,,,
2020/08/04,"North East",,,,,,
2020/08/04,"North East",,,,,,
2020/08/04,Saskatoon,,,,,,
2020/08/04,"Central West",,,,,,
2020/08/04,"Central West",,,,,,
2020/08/04,"Central East",,,,,,
2020/08/04,"Central East",,,,,,
2020/08/04,"Central East",,,,,,
2020/08/04,"Central East",,,,,,
2020/08/04,"Central East",,,,,,
2020/08/04,Regina,,,,,,
2020/08/04,"South West",,,,,,
2020/08/04,"South West",,,,,,
2020/08/04,"South Central",,,,,,
2020/08/04,"South Central",,,,,,
2020/08/04,"South East",,,,,,
2020/08/04,"South East",,,,,,
2020/08/04,"South East",,,,,,
2020/08/04,"South East",,,,,,
2020/08/05,"Far North West",,,,,,
2020/08/05,"Far North West",,,,,,
2020/08/05,"Far North Central",,,,,,
2020/08/05,"Far North East",,,,,,
2020/08/05,"Far North East",,,,,,
2020/08/05,"North West",,,,,,
2020/08/05,"North West",,,,,,
2020/08/05,"North West",,,,,,
2020/08/05,"North West",,,,,,
2020/08/05,"North Central",,,,,,
2020/08/05,"North Central",,,,,,
2020/08/05,"North Central",,,,,,
2020/08/05,"North East",,,,,,
2020/08/05,"North East",,,,,,
2020/08/05,"North East",,,,,,
2020/08/05,Saskatoon,,,,,,
2020/08/05,"Central West",,,,,,
2020/08/05,"Central West",,,,,,
2020/08/05,"Central East",,,,,,
2020/08/05,"Central East",,,,,,
2020/08/05,"Central East",,,,,,
2020/08/05,"Central East",,,,,,
2020/08/05,"Central East",,,,,,
2020/08/05,Regina,,,,,,
2020/08/05,"South West",,,,,,
2020/08/05,"South West",,,,,,
2020/08/05,"South Central",,,,,,
2020/08/05,"South Central",,,,,,
2020/08/05,"South East",,,,,,
2020/08/05,"South East",,,,,,
2020/08/05,"South East",,,,,,
2020/08/05,"South East",,,,,,
2020/08/06,"Far North West",,,,,,
2020/08/06,"Far North West",,,,,,
2020/08/06,"Far North Central",,,,,,
2020/08/06,"Far North East",,,,,,
2020/08/06,"Far North East",,,,,,
2020/08/06,"North West",,,,,,
2020/08/06,"North West",,,,,,
2020/08/06,"North West",,,,,,
2020/08/06,"North West",,,,,,
2020/08/06,"North Central",,,,,,
2020/08/06,"North Central",,,,,,
2020/08/06,"North Central",,,,,,
2020/08/06,"North East",,,,,,
2020/08/06,"North East",,,,,,
2020/08/06,"North East",,,,,,
2020/08/06,Saskatoon,,,,,,
2020/08/06,"Central West",,,,,,
2020/08/06,"Central West",,,,,,
2020/08/06,"Central East",,,,,,
2020/08/06,"Central East",,,,,,
2020/08/06,"Central East",,,,,,
2020/08/06,"Central East",,,,,,
2020/08/06,"Central East",,,,,,
2020/08/06,Regina,,,,,,
2020/08/06,"South West",,,,,,
2020/08/06,"South West",,,,,,
2020/08/06,"South Central",,,,,,
2020/08/06,"South Central",,,,,,
2020/08/06,"South East",,,,,,
2020/08/06,"South East",,,,,,
2020/08/06,"South East",,,,,,
2020/08/06,"South East",,,,,,
2020/08/07,"Far North West",,,,,,
2020/08/07,"Far North West",,,,,,
2020/08/07,"Far North Central",,,,,,
2020/08/07,"Far North East",,,,,,
2020/08/07,"Far North East",,,,,,
2020/08/07,"North West",,,,,,
2020/08/07,"North West",,,,,,
2020/08/07,"North West",,,,,,
2020/08/07,"North West",,,,,,
2020/08/07,"North Central",,,,,,
2020/08/07,"North Central",,,,,,
2020/08/07,"North Central",,,,,,
2020/08/07,"North East",,,,,,
2020/08/07,"North East",,,,,,
2020/08/07,"North East",,,,,,
2020/08/07,Saskatoon,,,,,,
2020/08/07,"Central West",,,,,,
2020/08/07,"Central West",,,,,,
2020/08/07,"Central East",,,,,,
2020/08/07,"Central East",,,,,,
2020/08/07,"Central East",,,,,,
2020/08/07,"Central East",,,,,,
2020/08/07,"Central East",,,,,,
2020/08/07,Regina,,,,,,
2020/08/07,"South West",,,,,,
2020/08/07,"South West",,,,,,
2020/08/07,"South Central",,,,,,
2020/08/07,"South Central",,,,,,
2020/08/07,"South East",,,,,,
2020/08/07,"South East",,,,,,
2020/08/07,"South East",,,,,,
2020/08/07,"South East",,,,,,
2020/08/08,"Far North West",,,,,,
2020/08/08,"Far North West",,,,,,
2020/08/08,"Far North Central",,,,,,
2020/08/08,"Far North East",,,,,,
2020/08/08,"Far North East",,,,,,
2020/08/08,"North West",,,,,,
2020/08/08,"North West",,,,,,
2020/08/08,"North West",,,,,,
2020/08/08,"North West",,,,,,
2020/08/08,"North Central",,,,,,
2020/08/08,"North Central",,,,,,
2020/08/08,"North Central",,,,,,
2020/08/08,"North East",,,,,,
2020/08/08,"North East",,,,,,
2020/08/08,"North East",,,,,,
2020/08/08,Saskatoon,,,,,,
2020/08/08,"Central West",,,,,,
2020/08/08,"Central West",,,,,,
2020/08/08,"Central East",,,,,,
2020/08/08,"Central East",,,,,,
2020/08/08,"Central East",,,,,,
2020/08/08,"Central East",,,,,,
2020/08/08,"Central East",,,,,,
2020/08/08,Regina,,,,,,
2020/08/08,"South West",,,,,,
2020/08/08,"South West",,,,,,
2020/08/08,"South Central",,,,,,
2020/08/08,"South Central",,,,,,
2020/08/08,"South East",,,,,,
2020/08/08,"South East",,,,,,
2020/08/08,"South East",,,,,,
2020/08/08,"South East",,,,,,
2020/08/09,"Far North West",,,,,,
2020/08/09,"Far North West",,,,,,
2020/08/09,"Far North Central",,,,,,
2020/08/09,"Far North East",,,,,,
2020/08/09,"Far North East",,,,,,
2020/08/09,"North West",,,,,,
2020/08/09,"North West",,,,,,
2020/08/09,"North West",,,,,,
2020/08/09,"North West",,,,,,
2020/08/09,"North Central",,,,,,
2020/08/09,"North Central",,,,,,
2020/08/09,"North Central",,,,,,
2020/08/09,"North East",,,,,,
2020/08/09,"North East",,,,,,
2020/08/09,"North East",,,,,,
2020/08/09,Saskatoon,,,,,,
2020/08/09,"Central West",,,,,,
2020/08/09,"Central West",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,Regina,,,,,,
2020/08/09,"South West",,,,,,
2020/08/09,"South West",,,,,,
2020/08/09,"South Central",,,,,,
2020/08/09,"South Central",,,,,,
2020/08/09,"South East",,,,,,
2020/08/09,"South East",,,,,,
2020/08/09,"South East",,,,,,
2020/08/09,"South East",,,,,,
2020/08/10,"Far North West",,,,,,
2020/08/10,"Far North West",,,,,,
2020/08/10,"Far North Central",,,,,,
2020/08/10,"Far North East",,,,,,
2020/08/10,"Far North East",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North Central",,,,,,
2020/08/10,"North Central",,,,,,
2020/08/10,"North Central",,,,,,
