Date,Population,Region
2021-01-01,909,far north west
2021-01-01,2991,regina
2021-01-02,922,far north west
2021-01-02,3073,regina
2021-01-03,939,far north west
2021-01-03,3093,regina
2021-01-04,957,far north west
2021-01-04,3141,regina
2021-01-05,965,far north west
2021-01-05,3180,regina
2021-01-06,970,far north west
2021-01-06,3251,regina
2021-01-07,985,far north west
2021-01-07,3300,regina
2021-01-08,1010,far north west
2021-01-08,3357,regina
2021-01-09,1024,far north west
2021-01-09,3414,regina
2021-01-10,1024,far north west
2021-01-10,3414,regina
2021-01-11,1062,far north west
2021-01-11,3503,regina
2021-01-12,1079,far north west
2021-01-12,3540,regina
2021-01-13,1094,far north west
2021-01-13,3563,regina
2021-01-14,1110,far north west
2021-01-14,3614,regina
2021-01-15,1164,far north west
2021-01-15,3659,regina
2021-01-16,1175,far north west
2021-01-16,3706,regina
2021-01-17,1209,far north west
2021-01-17,3743,regina
2021-01-18,1254,far north west
2021-01-18,3768,regina
2021-01-19,1280,far north west
2021-01-19,3812,regina
2021-01-20,1323,far north west
2021-01-20,3836,regina
2021-01-21,1337,far north west
2021-01-21,3887,regina
2021-01-22,1353,far north west
2021-01-22,3934,regina
2021-01-23,1403,far north west
2021-01-23,3975,regina
2021-01-24,1430,far north west
2021-01-24,4017,regina
2021-01-25,1447,far north west
2021-01-25,4059,regina
2021-01-26,1470,far north west
2021-01-26,4105,regina
2021-01-27,1480,far north west
2021-01-27,4143,regina
2021-01-28,1505,far north west
2021-01-28,4197,regina
2021-01-29,1535,far north west
2021-01-29,4255,regina
2021-01-30,1546,far north west
2021-01-30,4308,regina
2021-01-31,1571,far north west
2021-01-31,4334,regina
2021-02-01,1587,far north west
2021-02-01,4367,regina
2021-02-02,1601,far north west
2021-02-02,4432,regina
2021-02-03,1613,far north west
2021-02-03,4494,regina
2021-02-04,1623,far north west
2021-02-04,4539,regina
2021-02-05,1642,far north west
2021-02-05,4579,regina
2021-02-06,1655,far north west
2021-02-06,4641,regina
2021-02-07,1666,far north west
2021-02-07,4690,regina
2021-02-08,1682,far north west
2021-02-08,4733,regina
2021-02-09,1688,far north west
2021-02-09,4737,regina
2021-02-10,1714,far north west
2021-02-10,4796,regina
2021-02-11,1719,far north west
2021-02-11,4814,regina
2021-02-12,1741,far north west
2021-02-12,4838,regina
2021-02-13,1766,far north west
2021-02-13,4893,regina
2021-02-14,1773,far north west
2021-02-14,4924,regina
2021-02-15,1773,far north west
2021-02-15,4924,regina
2021-02-16,1796,far north west
2021-02-16,4986,regina
2021-02-17,1812,far north west
2021-02-17,5034,regina
2021-02-18,1819,far north west
2021-02-18,5070,regina
2021-02-19,1832,far north west
2021-02-19,5102,regina
2021-02-20,1848,far north west
2021-02-20,5180,regina
2021-02-21,1859,far north west
2021-02-21,5236,regina
2021-02-22,1874,far north west
2021-02-22,5284,regina
2021-02-23,1888,far north west
2021-02-23,5321,regina
2021-02-24,1893,far north west
2021-02-24,5339,regina
2021-02-25,1917,far north west
2021-02-25,5421,regina
2021-02-26,1951,far north west
2021-02-26,5473,regina
2021-02-27,1978,far north west
2021-02-27,5528,regina
2021-02-28,1994,far north west
2021-02-28,5548,regina
2021-03-01,2006,far north west
2021-03-01,5601,regina
2021-03-02,2029,far north west
2021-03-02,5639,regina
2021-03-03,2031,far north west
2021-03-03,5674,regina
2021-03-04,2058,far north west
2021-03-04,5717,regina
2021-03-05,2081,far north west
2021-03-05,5763,regina
2021-03-06,2090,far north west
2021-03-06,5824,regina
2021-03-07,2096,far north west
2021-03-07,5875,regina
2021-03-08,2097,far north west
2021-03-08,5925,regina
2021-03-09,2102,far north west
2021-03-09,5956,regina
2021-03-10,2105,far north west
2021-03-10,5998,regina
2021-03-11,2108,far north west
2021-03-11,6050,regina
2021-03-12,2109,far north west
2021-03-12,6119,regina
2021-03-13,2111,far north west
2021-03-13,6183,regina
2021-03-14,2111,far north west
2021-03-14,6211,regina
2021-03-15,2111,far north west
2021-03-15,6264,regina
2021-03-16,2113,far north west
2021-03-16,6365,regina
2021-03-17,2115,far north west
2021-03-17,6393,regina
2021-03-18,2115,far north west
2021-03-18,6458,regina
2021-03-19,2115,far north west
2021-03-19,6544,regina
2021-03-20,2121,far north west
2021-03-20,6640,regina
2021-03-21,2122,far north west
2021-03-21,6745,regina
2021-03-22,2126,far north west
2021-03-22,6847,regina
2021-03-23,2127,far north west
2021-03-23,6940,regina
2021-03-24,2134,far north west
2021-03-24,7056,regina
2021-03-25,2137,far north west
2021-03-25,7127,regina
2021-03-26,2141,far north west
2021-03-26,7233,regina
2021-03-27,2145,far north west
2021-03-27,7357,regina
2021-03-28,2149,far north west
2021-03-28,7487,regina
2021-03-29,2151,far north west
2021-03-29,7588,regina
2021-03-30,2152,far north west
2021-03-30,7679,regina
2021-03-31,2152,far north west
2021-03-31,7777,regina
2021-04-01,2152,far north west
2021-04-01,7896,regina
2021-04-02,2153,far north west
2021-04-02,8009,regina
2021-04-03,2159,far north west
2021-04-03,8136,regina
2021-04-04,2159,far north west
2021-04-04,8248,regina
2021-04-05,2162,far north west
2021-04-05,8358,regina
2021-04-06,2167,far north west
2021-04-06,8457,regina
2021-04-07,2171,far north west
2021-04-07,8532,regina
2021-04-08,2175,far north west
2021-04-08,8626,regina
2021-04-09,2181,far north west
2021-04-09,8734,regina
2021-04-10,2187,far north west
2021-04-10,8826,regina
2021-04-11,2194,far north west
2021-04-11,8946,regina
2021-04-12,2198,far north west
2021-04-12,9044,regina
2021-04-13,2202,far north west
2021-04-13,9162,regina
2021-04-14,2207,far north west
2021-04-14,9228,regina
2021-04-15,2215,far north west
2021-04-15,9319,regina
2021-04-16,2224,far north west
2021-04-16,9377,regina
2021-04-17,2229,far north west
2021-04-17,9463,regina
2021-04-18,2238,far north west
2021-04-18,9569,regina
2021-04-19,2242,far north west
2021-04-19,9651,regina
2021-04-20,2244,far north west
2021-04-20,9757,regina
2021-04-21,2256,far north west
2021-04-21,9837,regina
2021-04-22,2270,far north west
2021-04-22,9915,regina
2021-04-23,2272,far north west
2021-04-23,10003,regina
2021-04-24,2287,far north west
2021-04-24,10102,regina
2021-04-25,2304,far north west
2021-04-25,10204,regina
2021-04-26,2314,far north west
2021-04-26,10285,regina
2021-04-27,2322,far north west
2021-04-27,10315,regina
2021-04-28,2334,far north west
2021-04-28,10397,regina
2021-04-29,2350,far north west
2021-04-29,10473,regina
2021-04-30,2360,far north west
2021-04-30,10557,regina
2021-05-01,2374,far north west
2021-05-01,10629,regina
2021-05-02,2393,far north west
2021-05-02,10689,regina
2021-05-03,2404,far north west
2021-05-03,10753,regina
2021-05-04,2411,far north west
2021-05-04,10792,regina
2021-05-05,2413,far north west
2021-05-05,10836,regina
2021-05-06,2414,far north west
2021-05-06,10876,regina
2021-05-07,2416,far north west
2021-05-07,10949,regina
2021-05-08,2427,far north west
2021-05-08,11000,regina
2021-05-09,2435,far north west
2021-05-09,11043,regina
2021-05-10,2437,far north west
2021-05-10,11079,regina
2021-05-11,2440,far north west
2021-05-11,11130,regina
2021-05-12,2445,far north west
2021-05-12,11173,regina
2021-05-13,2445,far north west
2021-05-13,11173,regina
2021-05-14,2459,far north west
2021-05-14,11244,regina
2021-05-15,2462,far north west
2021-05-15,11270,regina
2021-05-16,2468,far north west
2021-05-16,11299,regina
2021-05-17,2476,far north west
2021-05-17,11341,regina
2021-05-18,2477,far north west
2021-05-18,11367,regina
2021-05-19,2482,far north west
2021-05-19,11387,regina
2021-05-20,2484,far north west
2021-05-20,11413,regina
2021-05-21,2488,far north west
2021-05-21,11444,regina
2021-05-22,2491,far north west
2021-05-22,11464,regina
2021-05-23,2498,far north west
2021-05-23,11480,regina
2021-05-24,2501,far north west
2021-05-24,11494,regina
2021-05-25,2503,far north west
2021-05-25,11509,regina
2021-05-26,2506,far north west
2021-05-26,11550,regina
2021-05-27,2509,far north west
2021-05-27,11587,regina
2021-05-28,2513,far north west
2021-05-28,11608,regina
2021-05-29,2518,far north west
2021-05-29,11636,regina
2021-05-30,2525,far north west
2021-05-30,11655,regina
2021-05-31,2531,far north west
2021-05-31,11679,regina
2021-06-01,2532,far north west
2021-06-01,11690,regina
2021-06-02,2540,far north west
2021-06-02,11712,regina
2021-06-03,2545,far north west
2021-06-03,11733,regina
2021-06-04,2550,far north west
2021-06-04,11745,regina
2021-06-05,2556,far north west
2021-06-05,11756,regina
2021-06-06,2556,far north west
2021-06-06,11772,regina
2021-06-07,2556,far north west
2021-06-07,11781,regina
2021-06-08,2560,far north west
2021-06-08,11798,regina
2021-06-09,2561,far north west
2021-06-09,11810,regina
2021-06-10,2571,far north west
2021-06-10,11830,regina
2021-06-11,2575,far north west
2021-06-11,11844,regina
2021-06-12,2578,far north west
2021-06-12,11854,regina
2021-06-13,2582,far north west
2021-06-13,11865,regina
2021-06-14,2583,far north west
2021-06-14,11877,regina
2021-06-15,2585,far north west
2021-06-15,11891,regina
2021-06-16,2586,far north west
2021-06-16,11920,regina
2021-06-17,2590,far north west
2021-06-17,11930,regina
2021-06-18,2592,far north west
2021-06-18,11958,regina
2021-06-19,2601,far north west
2021-06-19,11970,regina
2021-06-20,2606,far north west
2021-06-20,11979,regina
2021-06-21,2611,far north west
2021-06-21,11995,regina
2021-06-22,2611,far north west
2021-06-22,12004,regina
2021-06-23,2614,far north west
2021-06-23,12010,regina
2021-06-24,2618,far north west
2021-06-24,12021,regina
2021-06-25,2624,far north west
2021-06-25,12032,regina
2021-06-26,2634,far north west
2021-06-26,12040,regina
2021-06-27,2640,far north west
2021-06-27,12049,regina
2021-06-28,2642,far north west
2021-06-28,12053,regina
2021-06-29,2649,far north west
2021-06-29,12067,regina
2021-06-30,2652,far north west
2021-06-30,12069,regina
2021-07-01,2658,far north west
2021-07-01,12073,regina
2021-07-02,2663,far north west
2021-07-02,12080,regina
2021-07-03,2667,far north west
2021-07-03,12089,regina
2021-07-04,2677,far north west
2021-07-04,12098,regina
2021-07-05,2678,far north west
2021-07-05,12107,regina
2021-07-06,2683,far north west
2021-07-06,12109,regina
2021-07-07,2688,far north west
2021-07-07,12119,regina
2021-07-08,2691,far north west
2021-07-08,12131,regina
2021-07-09,2696,far north west
2021-07-09,12136,regina
2021-07-10,2704,far north west
2021-07-10,12144,regina
2021-07-11,2706,far north west
2021-07-11,12147,regina
2021-07-12,2709,far north west
2021-07-12,12148,regina
2021-07-13,2714,far north west
2021-07-13,12149,regina
2021-07-14,2716,far north west
2021-07-14,12155,regina
2021-07-15,2720,far north west
2021-07-15,12158,regina
2021-07-16,2723,far north west
2021-07-16,12162,regina
2021-07-17,2724,far north west
2021-07-17,12163,regina
2021-07-18,2737,far north west
2021-07-18,12167,regina
2021-07-19,2741,far north west
2021-07-19,12169,regina
2021-07-20,2755,far north west
2021-07-20,12169,regina
2021-07-21,2779,far north west
2021-07-21,12173,regina
2021-07-22,2793,far north west
2021-07-22,12178,regina
2021-07-23,2803,far north west
2021-07-23,12183,regina
2021-07-24,2809,far north west
2021-07-24,12192,regina
2021-07-25,2814,far north west
2021-07-25,12201,regina
2021-07-26,2826,far north west
2021-07-26,12201,regina
2021-07-27,2843,far north west
2021-07-27,12212,regina
2021-07-28,2859,far north west
2021-07-28,12219,regina
2021-07-29,2868,far north west
2021-07-29,12226,regina
2021-07-30,2878,far north west
2021-07-30,12228,regina
2021-07-31,2906,far north west
2021-07-31,12234,regina
2021-08-01,2916,far north west
2021-08-01,12234,regina
2021-08-02,2920,far north west
2021-08-02,12238,regina
2021-08-03,2922,far north west
2021-08-03,12238,regina
2021-08-04,2936,far north west
2021-08-04,12239,regina
2021-08-05,2942,far north west
2021-08-05,12244,regina
2021-08-06,2948,far north west
2021-08-06,12246,regina
2021-08-07,2962,far north west
2021-08-07,12257,regina
2021-08-08,2968,far north west
2021-08-08,12262,regina
2021-08-09,2973,far north west
2021-08-09,12267,regina
2021-08-10,2985,far north west
2021-08-10,12273,regina
2021-08-11,2986,far north west
2021-08-11,12278,regina
2021-08-12,3005,far north west
2021-08-12,12280,regina
2021-08-13,3017,far north west
2021-08-13,12287,regina
2021-08-14,3022,far north west
2021-08-14,12290,regina
2021-08-15,3027,far north west
2021-08-15,12297,regina
2021-08-16,3036,far north west
2021-08-16,12300,regina
2021-08-17,3048,far north west
2021-08-17,12306,regina
2021-08-18,3055,far north west
2021-08-18,12320,regina
2021-08-19,3082,far north west
2021-08-19,12334,regina
2021-08-20,3091,far north west
2021-08-20,12369,regina
2021-08-21,3097,far north west
2021-08-21,12394,regina
2021-08-22,3102,far north west
2021-08-22,12441,regina
2021-08-23,3111,far north west
2021-08-23,12447,regina
2021-08-24,3135,far north west
2021-08-24,12452,regina
2021-08-25,3142,far north west
2021-08-25,12387,regina
2021-08-26,3148,far north west
2021-08-26,12400,regina
2021-08-27,3157,far north west
2021-08-27,12413,regina
2021-08-28,3168,far north west
2021-08-28,12425,regina
2021-08-29,3176,far north west
2021-08-29,12442,regina
2021-08-30,3184,far north west
2021-08-30,12450,regina
2021-08-31,3194,far north west
2021-08-31,12461,regina
2021-09-01,3207,far north west
2021-09-01,12480,regina
2021-09-02,3236,far north west
2021-09-02,12496,regina
2021-09-03,3259,far north west
2021-09-03,12520,regina
2021-09-04,3283,far north west
2021-09-04,12541,regina
2021-09-05,3306,far north west
2021-09-05,12561,regina
2021-09-06,3331,far north west
2021-09-06,12574,regina
2021-09-07,3342,far north west
2021-09-07,12590,regina
2021-09-08,3367,far north west
2021-09-08,12609,regina
2021-09-09,3373,far north west
2021-09-09,12622,regina
2021-09-10,3395,far north west
2021-09-10,12653,regina
2021-09-11,3420,far north west
2021-09-11,12676,regina
2021-09-12,3429,far north west
2021-09-12,12702,regina
2021-09-13,3470,far north west
2021-09-13,12715,regina
2021-09-14,3487,far north west
