Date,Population,Region
2021-01-01,0,far north west
2021-01-01,0,regina
2021-01-02,0,far north west
2021-01-02,0,regina
2021-01-03,0,far north west
2021-01-03,0,regina
2021-01-04,0,far north west
2021-01-04,0,regina
2021-01-05,0,far north west
2021-01-05,0,regina
2021-01-06,0,far north west
2021-01-06,0,regina
2021-01-07,0,far north west
2021-01-07,0,regina
2021-01-08,0,far north west
2021-01-08,0,regina
2021-01-09,0,far north west
2021-01-09,0,regina
2021-01-10,0,far north west
2021-01-10,0,regina
2021-01-11,0,far north west
2021-01-11,0,regina
2021-01-12,0,far north west
2021-01-12,0,regina
2021-01-13,0,far north west
2021-01-13,0,regina
2021-01-14,0,far north west
2021-01-14,0,regina
2021-01-15,0,far north west
2021-01-15,0,regina
2021-01-16,0,far north west
2021-01-16,0,regina
2021-01-17,0,far north west
2021-01-17,0,regina
2021-01-18,0,far north west
2021-01-18,0,regina
2021-01-19,0,far north west
2021-01-19,0,regina
2021-01-20,0,far north west
2021-01-20,0,regina
2021-01-21,0,far north west
2021-01-21,0,regina
2021-01-22,0,far north west
2021-01-22,0,regina
2021-01-23,0,far north west
2021-01-23,0,regina
2021-01-24,0,far north west
2021-01-24,0,regina
2021-01-25,0,far north west
2021-01-25,0,regina
2021-01-26,0,far north west
2021-01-26,0,regina
2021-01-27,0,far north west
2021-01-27,0,regina
2021-01-28,0,far north west
2021-01-28,0,regina
2021-01-29,0,far north west
2021-01-29,0,regina
2021-01-30,0,far north west
2021-01-30,0,regina
2021-01-31,0,far north west
2021-01-31,0,regina
2021-02-01,0,far north west
2021-02-01,0,regina
2021-02-02,0,far north west
2021-02-02,0,regina
2021-02-03,0,far north west
2021-02-03,0,regina
2021-02-04,0,far north west
2021-02-04,0,regina
2021-02-05,0,far north west
2021-02-05,0,regina
2021-02-06,0,far north west
2021-02-06,0,regina
2021-02-07,0,far north west
2021-02-07,0,regina
2021-02-08,0,far north west
2021-02-08,0,regina
2021-02-09,0,far north west
2021-02-09,0,regina
2021-02-10,0,far north west
2021-02-10,0,regina
2021-02-11,0,far north west
2021-02-11,0,regina
2021-02-12,0,far north west
2021-02-12,0,regina
2021-02-13,0,far north west
2021-02-13,0,regina
2021-02-14,0,far north west
2021-02-14,0,regina
2021-02-15,0,far north west
2021-02-15,0,regina
2021-02-16,0,far north west
2021-02-16,0,regina
2021-02-17,0,far north west
2021-02-17,0,regina
2021-02-18,0,far north west
2021-02-18,0,regina
2021-02-19,0,far north west
2021-02-19,0,regina
2021-02-20,0,far north west
2021-02-20,0,regina
2021-02-21,0,far north west
2021-02-21,0,regina
2021-02-22,0,far north west
2021-02-22,0,regina
2021-02-23,0,far north west
2021-02-23,0,regina
2021-02-24,0,far north west
2021-02-24,0,regina
2021-02-25,0,far north west
2021-02-25,0,regina
2021-02-26,0,far north west
2021-02-26,0,regina
2021-02-27,0,far north west
2021-02-27,0,regina
2021-02-28,0,far north west
2021-02-28,0,regina
2021-03-01,0,far north west
2021-03-01,0,regina
2021-03-02,0,far north west
2021-03-02,0,regina
2021-03-03,0,far north west
2021-03-03,0,regina
2021-03-04,0,far north west
2021-03-04,0,regina
2021-03-05,1605,far north west
2021-03-05,7928,regina
2021-03-06,1610,far north west
2021-03-06,8962,regina
2021-03-07,1610,far north west
2021-03-07,9589,regina
2021-03-08,1612,far north west
2021-03-08,9589,regina
2021-03-09,1614,far north west
2021-03-09,9596,regina
2021-03-10,1618,far north west
2021-03-10,9610,regina
2021-03-11,1620,far north west
2021-03-11,9816,regina
2021-03-12,1627,far north west
2021-03-12,10634,regina
2021-03-13,1629,far north west
2021-03-13,11058,regina
2021-03-14,1634,far north west
2021-03-14,11316,regina
2021-03-15,1636,far north west
2021-03-15,11621,regina
2021-03-16,1645,far north west
2021-03-16,11964,regina
2021-03-17,1649,far north west
2021-03-17,13116,regina
2021-03-18,1932,far north west
2021-03-18,15061,regina
2021-03-19,2028,far north west
2021-03-19,17093,regina
2021-03-20,2300,far north west
2021-03-20,19449,regina
2021-03-21,2439,far north west
2021-03-21,21675,regina
2021-03-22,2453,far north west
2021-03-22,23651,regina
2021-03-23,2475,far north west
2021-03-23,26531,regina
2021-03-24,2625,far north west
2021-03-24,28783,regina
2021-03-25,2671,far north west
2021-03-25,29830,regina
2021-03-26,2788,far north west
2021-03-26,32574,regina
2021-03-27,2976,far north west
2021-03-27,33874,regina
2021-03-28,2988,far north west
2021-03-28,34412,regina
2021-03-29,2998,far north west
2021-03-29,35356,regina
2021-03-30,3041,far north west
2021-03-30,36665,regina
2021-03-31,3054,far north west
2021-03-31,37724,regina
2021-04-01,3397,far north west
2021-04-01,38895,regina
2021-04-02,3712,far north west
2021-04-02,40245,regina
2021-04-03,3909,far north west
2021-04-03,41929,regina
2021-04-04,3921,far north west
2021-04-04,42997,regina
2021-04-05,3936,far north west
2021-04-05,45116,regina
2021-04-06,3941,far north west
2021-04-06,47296,regina
2021-04-07,3963,far north west
2021-04-07,49006,regina
2021-04-08,3997,far north west
2021-04-08,50813,regina
2021-04-09,4351,far north west
2021-04-09,52468,regina
2021-04-10,4608,far north west
2021-04-10,53998,regina
2021-04-11,4830,far north west
2021-04-11,57059,regina
2021-04-12,4836,far north west
2021-04-12,59663,regina
2021-04-13,4864,far north west
2021-04-13,62383,regina
2021-04-14,4916,far north west
2021-04-14,64847,regina
2021-04-15,5130,far north west
2021-04-15,67602,regina
2021-04-16,5141,far north west
2021-04-16,70013,regina
2021-04-17,5182,far north west
2021-04-17,72576,regina
2021-04-18,5201,far north west
2021-04-18,75172,regina
2021-04-19,5216,far north west
2021-04-19,75870,regina
2021-04-20,5243,far north west
2021-04-20,76527,regina
2021-04-21,5351,far north west
2021-04-21,77266,regina
2021-04-22,5570,far north west
2021-04-22,78226,regina
2021-04-23,5981,far north west
2021-04-23,79406,regina
2021-04-24,6322,far north west
2021-04-24,79996,regina
2021-04-25,6361,far north west
2021-04-25,80423,regina
2021-04-26,6371,far north west
2021-04-26,80832,regina
2021-04-27,6385,far north west
2021-04-27,81159,regina
2021-04-28,6464,far north west
2021-04-28,82430,regina
2021-04-29,6527,far north west
2021-04-29,83673,regina
2021-04-30,6743,far north west
2021-04-30,84196,regina
2021-05-01,6869,far north west
2021-05-01,85597,regina
2021-05-02,6954,far north west
2021-05-02,88160,regina
2021-05-03,7005,far north west
2021-05-03,90276,regina
2021-05-04,7051,far north west
2021-05-04,93529,regina
2021-05-05,7110,far north west
2021-05-05,96124,regina
2021-05-06,7421,far north west
2021-05-06,98888,regina
2021-05-07,7573,far north west
2021-05-07,102391,regina
2021-05-08,7795,far north west
2021-05-08,106577,regina
2021-05-09,7910,far north west
2021-05-09,108850,regina
2021-05-10,7952,far north west
2021-05-10,110103,regina
2021-05-11,8003,far north west
2021-05-11,110340,regina
2021-05-12,8088,far north west
2021-05-12,111819,regina
2021-05-13,8314,far north west
2021-05-13,113606,regina
2021-05-14,8494,far north west
2021-05-14,114979,regina
2021-05-15,8602,far north west
2021-05-15,120641,regina
2021-05-16,8686,far north west
2021-05-16,126364,regina
2021-05-17,8733,far north west
2021-05-17,130277,regina
2021-05-18,8756,far north west
2021-05-18,132216,regina
2021-05-19,8822,far north west
2021-05-19,133695,regina
2021-05-20,8910,far north west
2021-05-20,134519,regina
2021-05-21,8999,far north west
2021-05-21,136941,regina
2021-05-22,9121,far north west
2021-05-22,140410,regina
2021-05-23,9212,far north west
2021-05-23,142985,regina
2021-05-24,9238,far north west
2021-05-24,144113,regina
2021-05-25,9243,far north west
2021-05-25,145039,regina
2021-05-26,9251,far north west
2021-05-26,146377,regina
2021-05-27,9362,far north west
2021-05-27,148127,regina
2021-05-28,9466,far north west
2021-05-28,150719,regina
2021-05-29,9571,far north west
2021-05-29,152829,regina
2021-05-30,9618,far north west
2021-05-30,154285,regina
2021-05-31,9635,far north west
2021-05-31,155107,regina
2021-06-01,0,far north west
2021-06-01,0,regina
2021-06-02,0,far north west
2021-06-02,0,regina
2021-06-03,9726,far north west
2021-06-03,157708,regina
2021-06-04,9771,far north west
2021-06-04,159071,regina
2021-06-05,9893,far north west
2021-06-05,160466,regina
2021-06-06,10092,far north west
2021-06-06,161375,regina
2021-06-07,10119,far north west
2021-06-07,161817,regina
2021-06-08,10127,far north west
2021-06-08,162038,regina
2021-06-09,10163,far north west
2021-06-09,162561,regina
2021-06-10,10297,far north west
2021-06-10,163279,regina
2021-06-11,10390,far north west
2021-06-11,164286,regina
2021-06-12,10537,far north west
2021-06-12,164989,regina
2021-06-13,10659,far north west
2021-06-13,165664,regina
2021-06-14,10660,far north west
2021-06-14,166075,regina
2021-06-15,10663,far north west
2021-06-15,166367,regina
2021-06-16,10684,far north west
2021-06-16,166971,regina
2021-06-17,10793,far north west
2021-06-17,167766,regina
2021-06-18,10863,far north west
2021-06-18,168856,regina
2021-06-19,10949,far north west
2021-06-19,169520,regina
2021-06-20,11009,far north west
2021-06-20,169929,regina
2021-06-21,11014,far north west
2021-06-21,169996,regina
2021-06-22,11023,far north west
2021-06-22,170162,regina
2021-06-23,11086,far north west
2021-06-23,170426,regina
2021-06-24,11154,far north west
2021-06-24,170827,regina
2021-06-25,11260,far north west
2021-06-25,171189,regina
2021-06-26,11333,far north west
2021-06-26,171598,regina
2021-06-27,11368,far north west
2021-06-27,171901,regina
2021-06-28,11378,far north west
2021-06-28,172110,regina
2021-06-29,11407,far north west
2021-06-29,172334,regina
2021-06-30,11475,far north west
2021-06-30,172665,regina
2021-07-01,11507,far north west
2021-07-01,173066,regina
2021-07-02,11563,far north west
2021-07-02,173511,regina
2021-07-03,11567,far north west
2021-07-03,173696,regina
2021-07-04,11592,far north west
2021-07-04,173969,regina
2021-07-05,11597,far north west
2021-07-05,174258,regina
2021-07-06,11599,far north west
2021-07-06,174485,regina
2021-07-07,11633,far north west
2021-07-07,174792,regina
2021-07-08,11673,far north west
2021-07-08,175126,regina
2021-07-09,11708,far north west
2021-07-09,175504,regina
2021-07-10,11732,far north west
2021-07-10,175846,regina
2021-07-11,11753,far north west
2021-07-11,176106,regina
2021-07-12,11779,far north west
2021-07-12,176258,regina
2021-07-13,11796,far north west
2021-07-13,176343,regina
2021-07-14,11807,far north west
2021-07-14,176562,regina
